Energy[keV], HPGe, LaBr3, Si(Li)
10, 0.000002799356637931933, 0, 0
11, 0.000039326530655354805, 0, 0
12, 0.000277225159284114, 0, 0
13, 0.0012063147932020507, 0, 0
14, 0.003715778384870201, 0, 0
15, 0.00889278772009676, 0, 0.011091847320639031
16, 0.017643301855288916, 0, 0.011332901608386134
17, 0.030386925847603226, 0, 0.011582774109965437
18, 0.046972112816957776, 0, 0.011839593324545521
19, 0.0667862816852897, 0, 0.012101905823416118
20, 0.08895446357845818, 0, 0.01236856461534414
21, 0.11253217537104215, 0, 0.012638651431159807
22, 0.136644654775362, 0, 0.012911421508209854
23, 0.16056391963035832, 0, 0.013186263640468886
24, 0.18373561982695835, 0, 0.013462670797333728
25, 0.2057732719809423, 0, 0.013740218193505814
26, 0.22643536189743713, 0, 0.0140185466991221
27, 0.2455962157402581, 0, 0.014297350134952647
28, 0.26321715539603835, 0, 0.014576365432882758
29, 0.27932119299084796, 0, 0.014855364936214088
30, 0.29397243630596426, 0, 0.015134150316531324
31, 0.3072602083169046, 0, 0.015412547724906446
32, 0.3192873255681685, 0, 0.01569040389493182
33, 0.3301617854003063, 0, 0.015967582986491355
34, 0.3399911116089617, 0, 0.016243964010938045
35, 0.3488786968937334, 0, 0.01651943871627389
36, 0.3569215990656935, 0, 0.0167939098390075
37, 0.3642093655067228, 0, 0.017067289650355456
38, 0.3708235637529733, 0, 0.017339498740285626
39, 0.3768377805042751, 0, 0.017610464994945386
40, 0.38231791784310787, 0.06439628387305626, 0.017880122732252642
41, 0.38732266571788054, 0.06490022154719854, 0.01814841196756358
42, 0.3919040672600219, 0.06534155406880454, 0.01841527778688268
43, 0.39610812073870005, 0.06573000568818944, 0.018680669809429805
44, 0.3999753814351361, 0.06607389967740078, 0.01894454172480816
45, 0.4035415405279502, 0.06638033873165966, 0.01920685089273596
46, 0.40683796756146173, 0.06665536762653045, 0.01946755799547417
47, 0.40989220959595296, 0.06690411790970678, 0.0197266267348225
48, 0.41272844440659, 0.06713093533980659, 0.019984023566958487
49, 0.4153678878948703, 0.06733949126893282, 0.020239717469531293
50, 0.41782915763534634, 0.0675328794498171, 0.020493679736346953
51, 0.42012859536115277, 0.06771369978819512, 0.020745883795738655
52, 0.4222805518201131, 0.0678841305663523, 0.02099630504933717
53, 0.424297637511143, 0.06804599055911033, 0.02124492072846886
54, 0.42619094278876746, 0.06820079235190017, 0.02149170976583374
55, 0.4279702307451836, 0.06834978803812744, 0.021736652680468063
56, 0.4296441059241787, 0.06849400834491223, 0.021979731474291046
57, 0.4312201617486523, 0.06863429609851526, 0.02222092953878131
58, 0.4327051092567626, 0.06877133483782419, 0.022460231570535512
59, 0.43410488942972625, 0.06890567326774592, 0.022697623494636707
60, 0.43542477115818895, 0.06903774614437858, 0.02293309239490663
61, 0.4366694366960323, 0.06916789211949632, 0.023166626450242183
62, 0.43784305615416225, 0.06929636897591294, 0.023398214876341517
63, 0.43894935247182665, 0.06942336663725843, 0.023627847872217306
64, 0.4399916580411384, 0.06954901827486028, 0.023855516570971128
65, 0.44097296411558984, 0.06967340978390484, 0.024081212994370094
66, 0.4418959638889927, 0.06979658787679707, 0.024304930010824066
67, 0.4427630900604098, 0.06991856697771616, 0.02452666129641067
68, 0.4435765476219121, 0.07003933510502898, 0.02474640129863844
69, 0.4443383424654351, 0.07015885888320199, 0.02496414520267478
70, 0.4450503063245677, 0.07027708780636886, 0.025179888899798043
71, 0.44571411856403315, 0.0703939578671377, 0.02539362895786007
72, 0.4463313251767342, 0.07050939463436223, 0.02560536259357067
73, 0.44690335537413933, 0.0706233158651209, 0.025815087646435825
74, 0.4474315360633642, 0.07073563371304914, 0.026022802554200843
75, 0.44791710446209093, 0.07084625659326149, 0.026228506329665016
76, 0.44836121912900684, 0.0709550907519607, 0.02643219853874948
77, 0.4487649695743538, 0.07106204158048413, 0.02663387927971175
78, 0.4491293846306475, 0.07116701471156336, 0.02683354916341219
79, 0.44945543975348623, 0.07126991693258701, 0.027031209294547005
80, 0.44974406339611844, 0.07137065693482644, 0.02722686125377101
81, 0.44999614253642667, 0.071469145928127, 0.02742050708064142
82, 0.4502125275018748, 0.07156529813418505, 0.02761214925732026
83, 0.4503940361588703, 0.07165903118619246, 0.027801790692979743
84, 0.45054145755075636, 0.07175026643350581, 0.027989434708859073
85, 0.45065555505362787, 0.07183892918035228, 0.02817508502392784
86, 0.45073706912008965, 0.07192494885628085, 0.028358745741113224
87, 0.45078671964448286, 0.07200825913932453, 0.028540421334054246
88, 0.4508052080007916, 0.07208879802491314, 0.028720116634347845
89, 0.4507932188187162, 0.0721665078644598, 0.02889783681925605
90, 0.45075142150768427, 0.07224133536904861, 0.0290735873998455
91, 0.45068047155450086, 0.07231323158457695, 0.029247374209533182
92, 0.4505810116522554, 0.07238215184353694, 0.02941920339301478
93, 0.4504536726475579, 0.0724480557005453, 0.02958908139555356
94, 0.4502990743743019, 0.07251090685097641, 0.02975701495261012
95, 0.4501178263334457, 0.07257067303480871, 0.02992301107979441
96, 0.4499105282949699, 0.07262732593567764, 0.030087077063123153
97, 0.44967777078104554, 0.07268084106437499, 0.0302492204495674
98, 0.4494201354929433, 0.07273119764109276, 0.030409449037875583
99, 0.4491381956622368, 0.07277837847311154, 0.03056777086965913
100, 0.44883251632794663, 0.07282236982468249, 0.030724194220728307
101, 0.4485036545947031, 0.07286316129243783, 0.03087872759266693
102, 0.44815215981833956, 0.07290074566843138, 0.03103137970463577
103, 0.4477785737636857, 0.07293511881417615, 0.03118215948539467
104, 0.4473834307469028, 0.07296627952629263, 0.03133107606553437
105, 0.44696725773016477, 0.07299422941006564, 0.031478138769909916
106, 0.4465305744135873, 0.07301897274852985, 0.03162335711026761
107, 0.4460738932834417, 0.07304051637674329, 0.031766740778058224
108, 0.44559771967858813, 0.07305886955624746, 0.03190829963742982
109, 0.4451025518198202, 0.0730740438549168, 0.03204804371839364
110, 0.44458888085311027, 0.07308605302744126, 0.03218598321015741
111, 0.4440571908460985, 0.07309491289697445, 0.0323221284546199
112, 0.44350795882745314, 0.07310064124467044, 0.032456489940022225
113, 0.4429416547952051, 0.07310325769754977, 0.03258907829475039
114, 0.4423587417176072, 0.07310278362487009, 0.032719904281284636
115, 0.44175967555293694, 0.07309924202804219, 0.032848978790291285
116, 0.44114490524581224, 0.07309265744850756, 0.03297631283485284
117, 0.4405148727597852, 0.07308305586497321, 0.03310191754483244
118, 0.43987001305649376, 0.0730704646040904, 0.03322580416136899
119, 0.4392107541188849, 0.0730549122459231, 0.03334798403149948
120, 0.4385375169868358, 0.07303642854187709, 0.03346846860290521
121, 0.43785071573047, 0.07301504432708986, 0.033587269418778584
122, 0.4371507575163621, 0.07299079144354594, 0.0337043981128076
123, 0.4364380425758746, 0.07296370266040261, 0.03381986640427517
124, 0.43571296428490436, 0.07293381160041351, 0.03393368609327055
125, 0.4349759091480717, 0.07290115266889766, 0.03404586905601002
126, 0.4342272568428353, 0.07286576098798088, 0.034156427240264714
127, 0.4334673802707934, 0.07282767232796844, 0.0342653726608929
128, 0.43269664556871196, 0.07278692304695183, 0.03437271739547445
129, 0.43191541215546014, 0.07274355002945462, 0.0344784735800454
130, 0.4311240327822264, 0.0726975906328482, 0.03458265340493045
131, 0.4303228535795818, 0.07264908262983956, 0.034685269110671206
132, 0.42951221409626616, 0.0725980641572437, 0.03478633298404846
133, 0.42869244735711787, 0.07254457366938341, 0.03488585735419632
134, 0.4278638799139519, 0.07248864988348734, 0.034983854588806575
135, 0.4270268319027831, 0.07243033174511875, 0.035080337090421534
136, 0.42618161710643804, 0.07236965837825363, 0.035175317292813264
137, 0.42532854301848827, 0.07230666904600916, 0.035268807657448095
138, 0.42446791089484776, 0.072241403113324, 0.035360820670034404
139, 0.4236000158298363, 0.07217390001230266, 0.03545136883715216
140, 0.42272514681789475, 0.07210419920359598, 0.035540464682962944
141, 0.421843586823548, 0.07203234014528631, 0.03562812074599857
142, 0.4209556128599969, 0.07195836226409304, 0.035714349576027246
143, 0.42006149604568505, 0.07188230492086417, 0.035799163730995655
144, 0.4191615016936253, 0.07180420738832344, 0.03588257577404568
145, 0.41825588937279434, 0.07172410882232201, 0.035964598270604324
146, 0.417344912997346, 0.07164204823740479, 0.036045243785545696
147, 0.41642882088791344, 0.07155806448450124, 0.036124524880423656
148, 0.41550785585172273, 0.07147219622695644, 0.03620245411077398
149, 0.4145822552795736, 0.0713844819213449, 0.036279044023484606
150, 0.41365225120366783, 0.07129495980217485, 0.036354307154233115
151, 0.41271807037440655, 0.07120366785425715, 0.03642825602499005
152, 0.4117799343639048, 0.07111064380599488, 0.03650090314158686
153, 0.41083805961908304, 0.07101592510926455, 0.03657226099134765
154, 0.4098926575552311, 0.07091954892247898, 0.036642342040783336
155, 0.40894393463995266, 0.07082155210149137, 0.03671115873334722
156, 0.4079920924611674, 0.07072197118576759, 0.03677872348725111
157, 0.4070373278049871, 0.0706208423809961, 0.036845048693340605
158, 0.4060798327710891, 0.0705182015614939, 0.03691014671302881
159, 0.4051197947938947, 0.07041408424390139, 0.036974029876287375
160, 0.40415739677144114, 0.070308525590434, 0.03703671047969375
